Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
4058,Exit long,2025-06-18 20:03,X,21924,1,438630,-150,-0.03,445,0.10,-190,-0.04,12730,0.13
4058,Entry long,2025-06-18 19:15,B=1|T=20250618T2315,21931.5,1,438630,-150,-0.03,445,0.10,-190,-0.04,12730,0.13
4059,Exit long,2025-06-18 22:18,X,21856.75,1,438480,-1345,-0.31,180,0.04,-2680,-0.61,11385,0.11
4059,Entry long,2025-06-18 20:03,B=0|T=20250619T0003,21924,1,438480,-1345,-0.31,180,0.04,-2680,-0.61,11385,0.11
4060,Exit long,2025-06-19 01:27,X,21876.5,1,437135,395,0.09,935,0.21,-285,-0.07,11780,0.12
4060,Entry long,2025-06-18 22:18,B=1|T=20250619T0218,21856.75,1,437135,395,0.09,935,0.21,-285,-0.07,11780,0.12
4061,Exit long,2025-06-19 04:51,X,21831,1,437530,-910,-0.21,70,0.02,-1875,-0.43,10870,0.11
4061,Entry long,2025-06-19 01:27,B=0|T=20250619T0527,21876.5,1,437530,-910,-0.21,70,0.02,-1875,-0.43,10870,0.11
4062,Exit long,2025-06-19 04:54,X,21828.5,1,436620,-50,-0.01,0,0.00,-80,-0.02,10820,0.11
4062,Entry long,2025-06-19 04:51,B=1|T=20250619T0851,21831,1,436620,-50,-0.01,0,0.00,-80,-0.02,10820,0.11
4063,Exit long,2025-06-19 05:00,X,21836,1,436570,150,0.03,250,0.06,-50,-0.01,10970,0.11
4063,Entry long,2025-06-19 04:54,B=0|T=20250619T0854,21828.5,1,436570,150,0.03,250,0.06,-50,-0.01,10970,0.11
4064,Exit long,2025-06-19 07:12,X,21796.5,1,436720,-790,-0.18,410,0.09,-820,-0.19,10180,0.10
4064,Entry long,2025-06-19 05:00,B=1|T=20250619T0900,21836,1,436720,-790,-0.18,410,0.09,-820,-0.19,10180,0.10
4065,Exit long,2025-06-19 07:18,X,21809.5,1,435930,260,0.06,270,0.06,-195,-0.04,10440,0.10
4065,Entry long,2025-06-19 07:12,B=0|T=20250619T1112,21796.5,1,435930,260,0.06,270,0.06,-195,-0.04,10440,0.10
4066,Exit long,2025-06-19 07:45,X,21801,1,436190,-170,-0.04,115,0.03,-170,-0.04,10270,0.10
4066,Entry long,2025-06-19 07:18,B=1|T=20250619T1118,21809.5,1,436190,-170,-0.04,115,0.03,-170,-0.04,10270,0.10
4067,Exit long,2025-06-19 07:48,X,21807.5,1,436020,130,0.03,200,0.05,0,0.00,10400,0.10
4067,Entry long,2025-06-19 07:45,B=0|T=20250619T1145,21801,1,436020,130,0.03,200,0.05,0,0.00,10400,0.10
4068,Exit long,2025-06-19 08:03,X,21795,1,436150,-250,-0.06,360,0.08,-350,-0.08,10150,0.10
4068,Entry long,2025-06-19 07:48,B=1|T=20250619T1148,21807.5,1,436150,-250,-0.06,360,0.08,-350,-0.08,10150,0.10
4069,Exit long,2025-06-19 08:12,X,21822,1,435900,540,0.12,605,0.14,-95,-0.02,10690,0.11
4069,Entry long,2025-06-19 08:03,B=0|T=20250619T1203,21795,1,435900,540,0.12,605,0.14,-95,-0.02,10690,0.11
4070,Exit long,2025-06-19 08:15,X,21797.75,1,436440,-485,-0.11,25,0.01,-515,-0.12,10205,0.10
4070,Entry long,2025-06-19 08:12,B=1|T=20250619T1212,21822,1,436440,-485,-0.11,25,0.01,-515,-0.12,10205,0.10
4071,Exit long,2025-06-19 12:06,X,21713.5,1,435955,-1685,-0.39,325,0.07,-2950,-0.68,8520,0.09
4071,Entry long,2025-06-19 08:15,B=0|T=20250619T1215,21797.75,1,435955,-1685,-0.39,325,0.07,-2950,-0.68,8520,0.09
4072,Exit long,2025-06-19 20:27,X,21912.75,1,434270,3985,0.92,4335,1.00,-440,-0.10,12505,0.13
4072,Entry long,2025-06-19 12:06,B=1|T=20250619T1606,21713.5,1,434270,3985,0.92,4335,1.00,-440,-0.10,12505,0.13
4073,Exit long,2025-06-19 22:30,X,21897.75,1,438255,-300,-0.07,75,0.02,-1315,-0.30,12205,0.12
4073,Entry long,2025-06-19 20:27,B=0|T=20250620T0027,21912.75,1,438255,-300,-0.07,75,0.02,-1315,-0.30,12205,0.12
4074,Exit long,2025-06-20 01:12,X,21896.25,1,437955,-30,-0.01,510,0.12,-295,-0.07,12175,0.12
4074,Entry long,2025-06-19 22:30,B=1|T=20250620T0230,21897.75,1,437955,-30,-0.01,510,0.12,-295,-0.07,12175,0.12
4075,Exit long,2025-06-20 01:51,X,21914.25,1,437925,360,0.08,530,0.12,-125,-0.03,12535,0.13
4075,Entry long,2025-06-20 01:12,B=0|T=20250620T0512,21896.25,1,437925,360,0.08,530,0.12,-125,-0.03,12535,0.13
4076,Exit long,2025-06-20 02:36,X,21922,1,438285,155,0.04,610,0.14,-10,0.00,12690,0.13
4076,Entry long,2025-06-20 01:51,B=1|T=20250620T0551,21914.25,1,438285,155,0.04,610,0.14,-10,0.00,12690,0.13
4077,Exit long,2025-06-20 03:48,X,21924,1,438440,40,0.01,60,0.01,-590,-0.13,12730,0.13
4077,Entry long,2025-06-20 02:36,B=0|T=20250620T0636,21922,1,438440,40,0.01,60,0.01,-590,-0.13,12730,0.13
4078,Exit long,2025-06-20 04:24,X,21921.75,1,438480,-45,-0.01,505,0.12,-115,-0.03,12685,0.13
4078,Entry long,2025-06-20 03:48,B=1|T=20250620T0748,21924,1,438480,-45,-0.01,505,0.12,-115,-0.03,12685,0.13
4079,Exit long,2025-06-20 06:00,X,21907.75,1,438435,-280,-0.06,30,0.01,-1255,-0.29,12405,0.12
4079,Entry long,2025-06-20 04:24,B=0|T=20250620T0824,21921.75,1,438435,-280,-0.06,30,0.01,-1255,-0.29,12405,0.12
4080,Exit long,2025-06-20 06:03,X,21894,1,438155,-275,-0.06,30,0.01,-295,-0.07,12130,0.12
4080,Entry long,2025-06-20 06:00,B=1|T=20250620T1000,21907.75,1,438155,-275,-0.06,30,0.01,-295,-0.07,12130,0.12
4081,Exit long,2025-06-20 06:09,X,21900,1,437880,120,0.03,180,0.04,-40,-0.01,12250,0.12
4081,Entry long,2025-06-20 06:03,B=0|T=20250620T1003,21894,1,437880,120,0.03,180,0.04,-40,-0.01,12250,0.12
4082,Exit long,2025-06-20 06:12,X,21893.5,1,438000,-130,-0.03,40,0.01,-145,-0.03,12120,0.12
4082,Entry long,2025-06-20 06:09,B=1|T=20250620T1009,21900,1,438000,-130,-0.03,40,0.01,-145,-0.03,12120,0.12
4083,Exit long,2025-06-20 06:30,X,21892.75,1,437870,-15,0.00,95,0.02,-210,-0.05,12105,0.12
4083,Entry long,2025-06-20 06:12,B=0|T=20250620T1012,21893.5,1,437870,-15,0.00,95,0.02,-210,-0.05,12105,0.12
4084,Exit long,2025-06-20 09:54,X,22038.25,1,437855,2910,0.66,4755,1.09,-65,-0.01,15015,0.15
4084,Entry long,2025-06-20 06:30,B=1|T=20250620T1030,21892.75,1,437855,2910,0.66,4755,1.09,-65,-0.01,15015,0.15
4085,Exit long,2025-06-20 12:30,X,21870.5,1,440765,-3355,-0.76,25,0.01,-5245,-1.19,11660,0.12
4085,Entry long,2025-06-20 09:54,B=0|T=20250620T1354,22038.25,1,440765,-3355,-0.76,25,0.01,-5245,-1.19,11660,0.12
4086,Exit long,2025-06-20 13:27,X,21795.25,1,437410,-1505,-0.34,925,0.21,-1525,-0.35,10155,0.10
4086,Entry long,2025-06-20 12:30,B=1|T=20250620T1630,21870.5,1,437410,-1505,-0.34,925,0.21,-1525,-0.35,10155,0.10
4087,Exit long,2025-06-20 13:45,X,21802,1,435905,135,0.03,530,0.12,-605,-0.14,10290,0.10
4087,Entry long,2025-06-20 13:27,B=0|T=20250620T1727,21795.25,1,435905,135,0.03,530,0.12,-605,-0.14,10290,0.10
4088,Exit long,2025-06-20 14:54,X,21816,1,436040,280,0.06,1980,0.45,-135,-0.03,10570,0.11
4088,Entry long,2025-06-20 13:45,B=1|T=20250620T1745,21802,1,436040,280,0.06,1980,0.45,-135,-0.03,10570,0.11
4089,Exit long,2025-06-20 15:54,X,21845.75,1,436320,595,0.14,870,0.20,-445,-0.10,11165,0.11
4089,Entry long,2025-06-20 14:54,B=0|T=20250620T1854,21816,1,436320,595,0.14,870,0.20,-445,-0.10,11165,0.11
4090,Exit long,2025-06-22 18:00,X,21696.5,1,436915,-2985,-0.68,1310,0.30,-5580,-1.28,8180,0.08
4090,Entry long,2025-06-20 15:54,B=1|T=20250620T1954,21845.75,1,436915,-2985,-0.68,1310,0.30,-5580,-1.28,8180,0.08
4091,Exit long,2025-06-22 19:24,X,21752.25,1,433930,1115,0.26,1810,0.42,-470,-0.11,9295,0.09
4091,Entry long,2025-06-22 18:00,B=0|T=20250622T2200,21696.5,1,433930,1115,0.26,1810,0.42,-470,-0.11,9295,0.09
4092,Exit long,2025-06-22 20:00,X,21734,1,435045,-365,-0.08,380,0.09,-485,-0.11,8930,0.09
4092,Entry long,2025-06-22 19:24,B=1|T=20250622T2324,21752.25,1,435045,-365,-0.08,380,0.09,-485,-0.11,8930,0.09
4093,Exit long,2025-06-22 20:06,X,21746.25,1,434680,245,0.06,455,0.10,-435,-0.10,9175,0.09
4093,Entry long,2025-06-22 20:00,B=0|T=20250623T0000,21734,1,434680,245,0.06,455,0.10,-435,-0.10,9175,0.09
4094,Exit long,2025-06-22 20:09,X,21731.5,1,434925,-295,-0.07,55,0.01,-360,-0.08,8880,0.09
4094,Entry long,2025-06-22 20:06,B=1|T=20250623T0006,21746.25,1,434925,-295,-0.07,55,0.01,-360,-0.08,8880,0.09
4095,Exit long,2025-06-22 20:39,X,21730.5,1,434630,-20,0.00,30,0.01,-490,-0.11,8860,0.09
4095,Entry long,2025-06-22 20:09,B=0|T=20250623T0009,21731.5,1,434630,-20,0.00,30,0.01,-490,-0.11,8860,0.09
4096,Exit long,2025-06-23 00:09,X,21759.25,1,434610,575,0.13,870,0.20,-390,-0.09,9435,0.09
4096,Entry long,2025-06-22 20:39,B=1|T=20250623T0039,21730.5,1,434610,575,0.13,870,0.20,-390,-0.09,9435,0.09
4097,Exit long,2025-06-23 00:12,X,21761.5,1,435185,45,0.01,70,0.02,-35,-0.01,9480,0.09
4097,Entry long,2025-06-23 00:09,B=0|T=20250623T0409,21759.25,1,435185,45,0.01,70,0.02,-35,-0.01,9480,0.09
4098,Exit long,2025-06-23 00:27,X,21767,1,435230,110,0.03,250,0.06,-5,0.00,9590,0.10
4098,Entry long,2025-06-23 00:12,B=1|T=20250623T0412,21761.5,1,435230,110,0.03,250,0.06,-5,0.00,9590,0.10
4099,Exit long,2025-06-23 01:06,X,21789,1,435340,440,0.10,555,0.13,-160,-0.04,10030,0.10
4099,Entry long,2025-06-23 00:27,B=0|T=20250623T0427,21767,1,435340,440,0.10,555,0.13,-160,-0.04,10030,0.10
4100,Exit long,2025-06-23 01:48,X,21795.5,1,435780,130,0.03,540,0.12,-15,0.00,10160,0.10
4100,Entry long,2025-06-23 01:06,B=1|T=20250623T0506,21789,1,435780,130,0.03,540,0.12,-15,0.00,10160,0.10
4101,Exit long,2025-06-23 01:54,X,21804.75,1,435910,185,0.04,280,0.06,-45,-0.01,10345,0.10
4101,Entry long,2025-06-23 01:48,B=0|T=20250623T0548,21795.5,1,435910,185,0.04,280,0.06,-45,-0.01,10345,0.10
4102,Exit long,2025-06-23 02:24,X,21801.75,1,436095,-60,-0.01,505,0.12,-140,-0.03,10285,0.10
4102,Entry long,2025-06-23 01:54,B=1|T=20250623T0554,21804.75,1,436095,-60,-0.01,505,0.12,-140,-0.03,10285,0.10
4103,Exit long,2025-06-23 02:27,X,21809,1,436035,145,0.03,165,0.04,0,0.00,10430,0.10
4103,Entry long,2025-06-23 02:24,B=0|T=20250623T0624,21801.75,1,436035,145,0.03,165,0.04,0,0.00,10430,0.10
4104,Exit long,2025-06-23 04:51,X,21900.25,1,436180,1825,0.42,2705,0.62,-90,-0.02,12255,0.12
4104,Entry long,2025-06-23 02:27,B=1|T=20250623T0627,21809,1,436180,1825,0.42,2705,0.62,-90,-0.02,12255,0.12
4105,Exit long,2025-06-23 04:54,X,21909.25,1,438005,180,0.04,275,0.06,-15,0.00,12435,0.12
4105,Entry long,2025-06-23 04:51,B=0|T=20250623T0851,21900.25,1,438005,180,0.04,275,0.06,-15,0.00,12435,0.12
4106,Exit long,2025-06-23 04:57,X,21905.75,1,438185,-70,-0.02,0,0.00,-120,-0.03,12365,0.12
4106,Entry long,2025-06-23 04:54,B=1|T=20250623T0854,21909.25,1,438185,-70,-0.02,0,0.00,-120,-0.03,12365,0.12
4107,Exit long,2025-06-23 05:18,X,21925.5,1,438115,395,0.09,435,0.10,-490,-0.11,12760,0.13
4107,Entry long,2025-06-23 04:57,B=0|T=20250623T0857,21905.75,1,438115,395,0.09,435,0.10,-490,-0.11,12760,0.13
4108,Exit long,2025-06-23 05:21,X,21908.5,1,438510,-340,-0.08,175,0.04,-390,-0.09,12420,0.12
4108,Entry long,2025-06-23 05:18,B=1|T=20250623T0918,21925.5,1,438510,-340,-0.08,175,0.04,-390,-0.09,12420,0.12
4109,Exit long,2025-06-23 08:03,X,21836.5,1,438170,-1440,-0.33,325,0.07,-2670,-0.61,10980,0.11
4109,Entry long,2025-06-23 05:21,B=0|T=20250623T0921,21908.5,1,438170,-1440,-0.33,325,0.07,-2670,-0.61,10980,0.11
4110,Exit long,2025-06-23 08:06,X,21822,1,436730,-290,-0.07,50,0.01,-385,-0.09,10690,0.11
4110,Entry long,2025-06-23 08:03,B=1|T=20250623T1203,21836.5,1,436730,-290,-0.07,50,0.01,-385,-0.09,10690,0.11
4111,Exit long,2025-06-23 08:12,X,21844.75,1,436440,455,0.10,470,0.11,-50,-0.01,11145,0.11
4111,Entry long,2025-06-23 08:06,B=0|T=20250623T1206,21822,1,436440,455,0.10,470,0.11,-50,-0.01,11145,0.11
4112,Exit long,2025-06-23 09:30,X,21810.5,1,436895,-685,-0.16,905,0.21,-1210,-0.28,10460,0.10
4112,Entry long,2025-06-23 08:12,B=1|T=20250623T1212,21844.75,1,436895,-685,-0.16,905,0.21,-1210,-0.28,10460,0.10
4113,Exit long,2025-06-23 09:36,X,21860.25,1,436210,995,0.23,1140,0.26,-1040,-0.24,11455,0.11
4113,Entry long,2025-06-23 09:30,B=0|T=20250623T1330,21810.5,1,436210,995,0.23,1140,0.26,-1040,-0.24,11455,0.11
4114,Exit long,2025-06-23 11:24,X,21967.5,1,437205,2145,0.49,3155,0.72,-175,-0.04,13600,0.14
4114,Entry long,2025-06-23 09:36,B=1|T=20250623T1336,21860.25,1,437205,2145,0.49,3155,0.72,-175,-0.04,13600,0.14
4115,Exit long,2025-06-23 11:36,X,21966.25,1,439350,-25,-0.01,0,0.00,-710,-0.16,13575,0.14
4115,Entry long,2025-06-23 11:24,B=0|T=20250623T1524,21967.5,1,439350,-25,-0.01,0,0.00,-710,-0.16,13575,0.14
4116,Exit long,2025-06-23 11:39,X,21924.25,1,439325,-840,-0.19,10,0.00,-850,-0.19,12735,0.13
4116,Entry long,2025-06-23 11:36,B=1|T=20250623T1536,21966.25,1,439325,-840,-0.19,10,0.00,-850,-0.19,12735,0.13
4117,Exit long,2025-06-23 13:27,X,22018.5,1,438485,1885,0.43,2180,0.50,-3720,-0.85,14620,0.15
4117,Entry long,2025-06-23 11:39,B=0|T=20250623T1539,21924.25,1,438485,1885,0.43,2180,0.50,-3720,-0.85,14620,0.15
4118,Exit long,2025-06-23 14:48,X,22032.25,1,440370,275,0.06,1390,0.32,0,0.00,14895,0.15
4118,Entry long,2025-06-23 13:27,B=1|T=20250623T1727,22018.5,1,440370,275,0.06,1390,0.32,0,0.00,14895,0.15
4119,Exit long,2025-06-23 15:00,X,22057.25,1,440645,500,0.11,765,0.17,-220,-0.05,15395,0.15
4119,Entry long,2025-06-23 14:48,B=0|T=20250623T1848,22032.25,1,440645,500,0.11,765,0.17,-220,-0.05,15395,0.15
4120,Exit long,2025-06-23 15:12,X,22046,1,441145,-225,-0.05,55,0.01,-370,-0.08,15170,0.15
4120,Entry long,2025-06-23 15:00,B=1|T=20250623T1900,22057.25,1,441145,-225,-0.05,55,0.01,-370,-0.08,15170,0.15
4121,Exit long,2025-06-23 15:51,X,22080,1,440920,680,0.15,700,0.16,-440,-0.10,15850,0.16
4121,Entry long,2025-06-23 15:12,B=0|T=20250623T1912,22046,1,440920,680,0.15,700,0.16,-440,-0.10,15850,0.16
4122,Exit long,2025-06-23 16:00,X,22058.5,1,441600,-430,-0.10,260,0.06,-545,-0.12,15420,0.15
4122,Entry long,2025-06-23 15:51,B=1|T=20250623T1951,22080,1,441600,-430,-0.10,260,0.06,-545,-0.12,15420,0.15
4123,Exit long,2025-06-23 16:03,X,22055.75,1,441170,-55,-0.01,125,0.03,-110,-0.02,15365,0.15
4123,Entry long,2025-06-23 16:00,B=0|T=20250623T2000,22058.5,1,441170,-55,-0.01,125,0.03,-110,-0.02,15365,0.15
4124,Exit long,2025-06-23 16:57,X,22072.25,1,441115,330,0.07,605,0.14,-45,-0.01,15695,0.16
4124,Entry long,2025-06-23 16:03,B=1|T=20250623T2003,22055.75,1,441115,330,0.07,605,0.14,-45,-0.01,15695,0.16
4125,Exit long,2025-06-23 18:03,X,22130.25,1,441445,1160,0.26,1555,0.35,-130,-0.03,16855,0.17
4125,Entry long,2025-06-23 16:57,B=0|T=20250623T2057,22072.25,1,441445,1160,0.26,1555,0.35,-130,-0.03,16855,0.17
4126,Exit long,2025-06-23 19:57,X,22237.25,1,442605,2140,0.48,2495,0.56,-195,-0.04,18995,0.19
4126,Entry long,2025-06-23 18:03,B=1|T=20250623T2203,22130.25,1,442605,2140,0.48,2495,0.56,-195,-0.04,18995,0.19
4127,Exit long,2025-06-23 23:27,X,22245,1,444745,155,0.03,685,0.15,-865,-0.19,19150,0.19
4127,Entry long,2025-06-23 19:57,B=0|T=20250623T2357,22237.25,1,444745,155,0.03,685,0.15,-865,-0.19,19150,0.19
4128,Exit long,2025-06-24 00:09,X,22239.25,1,444900,-115,-0.03,140,0.03,-140,-0.03,19035,0.19
4128,Entry long,2025-06-23 23:27,B=1|T=20250624T0327,22245,1,444900,-115,-0.03,140,0.03,-140,-0.03,19035,0.19
4129,Exit long,2025-06-24 00:24,X,22237.75,1,444785,-30,-0.01,50,0.01,-380,-0.09,19005,0.19
4129,Entry long,2025-06-24 00:09,B=0|T=20250624T0409,22239.25,1,444785,-30,-0.01,50,0.01,-380,-0.09,19005,0.19
4130,Exit long,2025-06-24 00:27,X,22236.25,1,444755,-30,-0.01,65,0.01,-40,-0.01,18975,0.19
4130,Entry long,2025-06-24 00:24,B=1|T=20250624T0424,22237.75,1,444755,-30,-0.01,65,0.01,-40,-0.01,18975,0.19
4131,Exit long,2025-06-24 00:33,X,22239.75,1,444725,70,0.02,90,0.02,-50,-0.01,19045,0.19
4131,Entry long,2025-06-24 00:27,B=0|T=20250624T0427,22236.25,1,444725,70,0.02,90,0.02,-50,-0.01,19045,0.19
4132,Exit long,2025-06-24 03:27,X,22325,1,444795,1705,0.38,2895,0.65,-30,-0.01,20750,0.21
4132,Entry long,2025-06-24 00:33,B=1|T=20250624T0433,22239.75,1,444795,1705,0.38,2895,0.65,-30,-0.01,20750,0.21
4133,Exit long,2025-06-24 03:36,X,22316,1,446500,-180,-0.04,105,0.02,-905,-0.20,20570,0.21
4133,Entry long,2025-06-24 03:27,B=0|T=20250624T0727,22325,1,446500,-180,-0.04,105,0.02,-905,-0.20,20570,0.21
4134,Exit long,2025-06-24 03:48,X,22302,1,446320,-280,-0.06,170,0.04,-310,-0.07,20290,0.20
4134,Entry long,2025-06-24 03:36,B=1|T=20250624T0736,22316,1,446320,-280,-0.06,170,0.04,-310,-0.07,20290,0.20
4135,Exit long,2025-06-24 03:57,X,22306,1,446040,80,0.02,180,0.04,-800,-0.18,20370,0.20
4135,Entry long,2025-06-24 03:48,B=0|T=20250624T0748,22302,1,446040,80,0.02,180,0.04,-800,-0.18,20370,0.20
4136,Exit long,2025-06-24 04:00,X,22293.75,1,446120,-245,-0.05,455,0.10,-330,-0.07,20125,0.20
4136,Entry long,2025-06-24 03:57,B=1|T=20250624T0757,22306,1,446120,-245,-0.05,455,0.10,-330,-0.07,20125,0.20
4137,Exit long,2025-06-24 04:03,X,22306,1,445875,245,0.05,305,0.07,-75,-0.02,20370,0.20
4137,Entry long,2025-06-24 04:00,B=0|T=20250624T0800,22293.75,1,445875,245,0.05,305,0.07,-75,-0.02,20370,0.20
4138,Exit long,2025-06-24 04:06,X,22300,1,446120,-120,-0.03,65,0.01,-300,-0.07,20250,0.20
4138,Entry long,2025-06-24 04:03,B=1|T=20250624T0803,22306,1,446120,-120,-0.03,65,0.01,-300,-0.07,20250,0.20
4139,Exit long,2025-06-24 04:09,X,22306,1,446000,120,0.03,320,0.07,-65,-0.01,20370,0.20
4139,Entry long,2025-06-24 04:06,B=0|T=20250624T0806,22300,1,446000,120,0.03,320,0.07,-65,-0.01,20370,0.20
4140,Exit long,2025-06-24 04:15,X,22302.25,1,446120,-75,-0.02,115,0.03,-180,-0.04,20295,0.20
4140,Entry long,2025-06-24 04:09,B=1|T=20250624T0809,22306,1,446120,-75,-0.02,115,0.03,-180,-0.04,20295,0.20
4141,Exit long,2025-06-24 04:18,X,22310.5,1,446045,165,0.04,185,0.04,-55,-0.01,20460,0.20
4141,Entry long,2025-06-24 04:15,B=0|T=20250624T0815,22302.25,1,446045,165,0.04,185,0.04,-55,-0.01,20460,0.20
4142,Exit long,2025-06-24 06:06,X,22295,1,446210,-310,-0.07,835,0.19,-475,-0.11,20150,0.20
4142,Entry long,2025-06-24 04:18,B=1|T=20250624T0818,22310.5,1,446210,-310,-0.07,835,0.19,-475,-0.11,20150,0.20
4143,Exit long,2025-06-24 06:21,X,22302.5,1,445900,150,0.03,175,0.04,-245,-0.05,20300,0.20
4143,Entry long,2025-06-24 06:06,B=0|T=20250624T1006,22295,1,445900,150,0.03,175,0.04,-245,-0.05,20300,0.20
4144,Exit long,2025-06-24 06:24,X,22294.5,1,446050,-160,-0.04,20,0.00,-160,-0.04,20140,0.20
4144,Entry long,2025-06-24 06:21,B=1|T=20250624T1021,22302.5,1,446050,-160,-0.04,20,0.00,-160,-0.04,20140,0.20
4145,Exit long,2025-06-24 06:54,X,22296.75,1,445890,45,0.01,190,0.04,-290,-0.07,20185,0.20
4145,Entry long,2025-06-24 06:24,B=0|T=20250624T1024,22294.5,1,445890,45,0.01,190,0.04,-290,-0.07,20185,0.20
4146,Exit long,2025-06-24 06:57,X,22285,1,445935,-235,-0.05,10,0.00,-275,-0.06,19950,0.20
4146,Entry long,2025-06-24 06:54,B=1|T=20250624T1054,22296.75,1,445935,-235,-0.05,10,0.00,-275,-0.06,19950,0.20
4147,Exit long,2025-06-24 07:30,X,22300.75,1,445700,315,0.07,520,0.12,-665,-0.15,20265,0.20
4147,Entry long,2025-06-24 06:57,B=0|T=20250624T1057,22285,1,445700,315,0.07,520,0.12,-665,-0.15,20265,0.20
4148,Exit long,2025-06-24 07:33,X,22291.5,1,446015,-185,-0.04,0,0.00,-265,-0.06,20080,0.20
4148,Entry long,2025-06-24 07:30,B=1|T=20250624T1130,22300.75,1,446015,-185,-0.04,0,0.00,-265,-0.06,20080,0.20
4149,Exit long,2025-06-24 08:03,X,22308.5,1,445830,340,0.08,435,0.10,-135,-0.03,20420,0.20
4149,Entry long,2025-06-24 07:33,B=0|T=20250624T1133,22291.5,1,445830,340,0.08,435,0.10,-135,-0.03,20420,0.20
4150,Exit long,2025-06-24 08:09,X,22301.25,1,446170,-145,-0.03,115,0.03,-165,-0.04,20275,0.20
4150,Entry long,2025-06-24 08:03,B=1|T=20250624T1203,22308.5,1,446170,-145,-0.03,115,0.03,-165,-0.04,20275,0.20
4151,Exit long,2025-06-24 09:15,X,22294.5,1,446025,-135,-0.03,195,0.04,-855,-0.19,20140,0.20
4151,Entry long,2025-06-24 08:09,B=0|T=20250624T1209,22301.25,1,446025,-135,-0.03,195,0.04,-855,-0.19,20140,0.20
4152,Exit long,2025-06-24 09:27,X,22286.5,1,445890,-160,-0.04,170,0.04,-240,-0.05,19980,0.20
4152,Entry long,2025-06-24 09:15,B=1|T=20250624T1315,22294.5,1,445890,-160,-0.04,170,0.04,-240,-0.05,19980,0.20
4153,Exit long,2025-06-24 09:30,X,22289.75,1,445730,65,0.01,565,0.13,-380,-0.09,20045,0.20
4153,Entry long,2025-06-24 09:27,B=0|T=20250624T1327,22286.5,1,445730,65,0.01,565,0.13,-380,-0.09,20045,0.20
4154,Exit long,2025-06-24 10:06,X,22272,1,445795,-355,-0.08,875,0.20,-595,-0.13,19690,0.20
4154,Entry long,2025-06-24 09:30,B=1|T=20250624T1330,22289.75,1,445795,-355,-0.08,875,0.20,-595,-0.13,19690,0.20
4155,Exit long,2025-06-24 10:09,X,22291.25,1,445440,385,0.09,450,0.10,-50,-0.01,20075,0.20
4155,Entry long,2025-06-24 10:06,B=0|T=20250624T1406,22272,1,445440,385,0.09,450,0.10,-50,-0.01,20075,0.20
4156,Exit long,2025-06-24 13:21,X,22389.5,1,445825,1965,0.44,2530,0.57,-145,-0.03,22040,0.22
4156,Entry long,2025-06-24 10:09,B=1|T=20250624T1409,22291.25,1,445825,1965,0.44,2530,0.57,-145,-0.03,22040,0.22
4157,Exit long,2025-06-24 13:24,X,22396.25,1,447790,135,0.03,135,0.03,-115,-0.03,22175,0.22
4157,Entry long,2025-06-24 13:21,B=0|T=20250624T1721,22389.5,1,447790,135,0.03,135,0.03,-115,-0.03,22175,0.22
4158,Exit long,2025-06-24 13:27,X,22388,1,447925,-165,-0.04,10,0.00,-205,-0.05,22010,0.22
4158,Entry long,2025-06-24 13:24,B=1|T=20250624T1724,22396.25,1,447925,-165,-0.04,10,0.00,-205,-0.05,22010,0.22
4159,Exit long,2025-06-24 13:30,X,22402.75,1,447760,295,0.07,355,0.08,-10,0.00,22305,0.22
4159,Entry long,2025-06-24 13:27,B=0|T=20250624T1727,22388,1,447760,295,0.07,355,0.08,-10,0.00,22305,0.22
4160,Exit long,2025-06-24 13:33,X,22397,1,448055,-115,-0.03,35,0.01,-150,-0.03,22190,0.22
4160,Entry long,2025-06-24 13:30,B=1|T=20250624T1730,22402.75,1,448055,-115,-0.03,35,0.01,-150,-0.03,22190,0.22
4161,Exit long,2025-06-24 13:39,X,22406.5,1,447940,190,0.04,255,0.06,-55,-0.01,22380,0.22
4161,Entry long,2025-06-24 13:33,B=0|T=20250624T1733,22397,1,447940,190,0.04,255,0.06,-55,-0.01,22380,0.22
4162,Exit long,2025-06-24 13:57,X,22417.5,1,448130,220,0.05,390,0.09,-35,-0.01,22600,0.23
4162,Entry long,2025-06-24 13:39,B=1|T=20250624T1739,22406.5,1,448130,220,0.05,390,0.09,-35,-0.01,22600,0.23
4163,Exit long,2025-06-24 14:00,X,22428,1,448350,210,0.05,245,0.05,-15,0.00,22810,0.23
4163,Entry long,2025-06-24 13:57,B=0|T=20250624T1757,22417.5,1,448350,210,0.05,245,0.05,-15,0.00,22810,0.23
4164,Exit long,2025-06-24 14:09,X,22420.25,1,448560,-155,-0.03,80,0.02,-225,-0.05,22655,0.23
4164,Entry long,2025-06-24 14:00,B=1|T=20250624T1800,22428,1,448560,-155,-0.03,80,0.02,-225,-0.05,22655,0.23
4165,Exit long,2025-06-24 14:57,X,22426,1,448405,115,0.03,165,0.04,-245,-0.05,22770,0.23
4165,Entry long,2025-06-24 14:09,B=0|T=20250624T1809,22420.25,1,448405,115,0.03,165,0.04,-245,-0.05,22770,0.23
